#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     62                30                4472              46.490            1950         
GPU 0     39                7                 5934              48.761            2025         
GPU 0     2                 0                 6758              46.534            2040         
GPU 0     1                 0                 7573              46.704            2040         
GPU 0     4                 0                 5803              50.452            1995         
GPU 0     71                33                5015              52.152            1995         
GPU 0     38                7                 6305              46.195            2025         
GPU 0     30                4                 7445              51.694            2025         
GPU 0     22                3                 7839              51.496            2025         
GPU 0     44                26                4341              55.447            1545         
GPU 0     93                29                6279              58.041            2010         
GPU 0     88                47                7403              59.085            1740         
GPU 0     88                93                8061              53.946            2025         
GPU 0     15                3                 4949              55.776            1995         
GPU 0     70                31                5153              59.338            1590         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     98                24                6709              52.625            1980         
GPU 0     81                5                 7833              50.525            2025         
GPU 0     63                5                 7485              51.945            1665         
GPU 0     81                34                4311              54.568            2025         
GPU 0     84                18                6173              55.581            2025         
GPU 0     79                5                 7423              53.180            2025         
GPU 0     68                5                 8225              53.014            2040         
GPU 0     74                20                4399              56.171            2025         
GPU 0     80                28                5623              54.548            2025         
GPU 0     84                8                 6919              54.296            2025         
GPU 0     70                5                 8043              54.116            1425         
GPU 0     73                11                8115              60.472            1470         
GPU 0     82                33                4175              58.860            2025         
GPU 0     77                12                5667              59.401            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     11                2                 7003              58.666            2025         
GPU 0     62                3                 8099              57.867            2040         
GPU 0     73                5                 4709              56.192            1950         
GPU 0     87                34                5515              49.249            1965         
GPU 0     90                5                 6997              45.919            2025         
GPU 0     75                0                 8099              47.733            2040         
GPU 0     73                3                 4753              48.725            2010         
GPU 0     87                36                4909              51.988            1800         
GPU 0     71                14                7535              49.648            2025         
GPU 0     42                3                 9443              49.209            2025         
GPU 0     32                2                 10983             48.011            2040         
GPU 0     25                2                 11111             48.352            2010         
GPU 0     57                31                6131              44.829            2010         
GPU 0     85                39                6259              44.337            1905         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     56                7                 8533              44.220            2025         
GPU 0     38                3                 10249             44.184            2040         
GPU 0     29                2                 11363             44.326            1890         
GPU 0     57                29                8557              41.809            1710         
GPU 0     57                32                5373              39.912            2010         
GPU 0     61                13                7589              39.896            2025         
GPU 0     51                3                 9479              39.851            2025         
GPU 0     32                2                 11019             39.825            2040         
GPU 0     41                12                10509             43.692            1995         
GPU 0     44                22                6275              43.574            1935         
GPU 0     81                38                6663              43.378            2025         
GPU 0     53                7                 8801              43.377            2025         
GPU 0     36                2                 10483             43.404            2025         
GPU 0     28                2                 10709             42.148            1875         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     58                31                7423              45.343            1650         
GPU 0     68                35                5771              50.400            2025         
GPU 0     29                3                 7463              50.310            2025         
GPU 0     39                3                 9415              50.455            2025         
GPU 0     29                2                 10997             47.496            2040         
GPU 0     58                30                10165             48.190            2025         
GPU 0     53                29                6805              43.509            1845         
GPU 0     62                14                5213              44.858            1650         
GPU 0     57                4                 7821              45.269            2025         
GPU 0     36                2                 9695              45.305            2025         
GPU 0     28                2                 11225             41.366            2040         
GPU 0     47                18                10843             45.236            1770         
GPU 0     76                45                5389              48.625            2010         
GPU 0     71                14                6585              55.869            1830         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     47                3                 8705              55.878            2025         
GPU 0     30                2                 10261             55.793            2040         
GPU 0     25                2                 11681             55.793            2040         
GPU 0     57                30                8787              51.426            2025         
GPU 0     84                39                5007              53.510            1860         
GPU 0     58                8                 7515              48.996            2025         
GPU 0     38                2                 9455              49.039            2025         
GPU 0     38                2                 11033             49.057            2040         
GPU 0     57                29                10753             45.795            2010         
GPU 0     61                33                6015              45.788            1320         
GPU 0     61                13                6531              40.083            1890         
GPU 0     53                4                 8703              40.067            2025         
GPU 0     32                2                 10375             40.040            2040         
GPU 0     40                10                11167             43.966            1950         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     48                24                7859              43.533            1845         
GPU 0     81                38                5437              43.256            2025         
GPU 0     53                7                 7859              43.988            2025         
GPU 0     36                2                 9709              43.979            2025         
GPU 0     28                2                 11237             43.961            2040         
GPU 0     57                30                9751              43.862            2025         
GPU 0     66                34                6027              49.878            1425         
GPU 0     56                11                6985              54.036            1440         
GPU 0     45                3                 9013              53.990            2025         
GPU 0     30                2                 10607             53.963            2040         
GPU 0     57                29                10585             51.423            1995         
GPU 0     39                15                6981              52.570            1710         
GPU 0     69                28                5827              52.888            2025         
GPU 0     50                5                 8211              51.620            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     50                5                 9955              51.650            2025         
GPU 0     34                2                 10911             54.043            1710         
GPU 0     37                6                 8685              52.707            2025         
GPU 0     73                36                6011              49.112            1995         
GPU 0     50                8                 7435              46.458            1995         
GPU 0     40                3                 9379              46.385            2025         
GPU 0     30                2                 10959             46.372            1710         
GPU 0     58                30                9977              47.749            2025         
GPU 0     55                32                6693              46.750            1665         
GPU 0     53                11                6679              46.732            2025         
GPU 0     50                4                 8837              45.852            2025         
GPU 0     32                2                 10527             45.872            2025         
GPU 0     59                29                10167             43.725            1995         
GPU 0     33                9                 7453              45.159            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     72                34                5935              43.644            2025         
GPU 0     49                6                 8157              43.609            2010         
GPU 0     35                2                 9925              43.629            2025         
GPU 0     48                16                10473             46.374            1875         
GPU 0     39                18                8169              46.338            2025         
GPU 0     73                35                6389              47.452            1995         
GPU 0     73                35                7425              52.529            1965         
GPU 0     41                3                 9381              52.554            2025         
GPU 0     29                2                 10787             52.552            1710         
GPU 0     59                31                9597              49.896            2025         
GPU 0     56                29                7095              49.922            1905         
GPU 0     54                14                6495              50.039            2025         
GPU 0     48                5                 8703              45.724            2025         
GPU 0     32                2                 10411             45.697            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     58                30                9923              47.151            2025         
GPU 0     28                6                 8215              47.157            2025         
GPU 0     78                36                6225              46.577            2010         
GPU 0     47                7                 7881              45.777            1950         
GPU 0     37                3                 9747              45.822            2025         
GPU 0     48                16                10371             47.230            1740         
GPU 0     40                19                8433              47.221            2025         
GPU 0     71                35                6789              47.869            1950         
GPU 0     40                9                 7067              47.841            2025         
GPU 0     48                3                 9113              47.707            2025         
GPU 0     48                3                 10737             47.714            2040         
GPU 0     59                31                9543              46.373            2025         
